key,district_lbl,priority,gi_z,gi_p,hotspot,lisa_quadrant,lisa_p
09053,Sant Andreu,0.0014618235544537098,-0.1618928988159326,0.8713901949751091,ns,ns,0.807
09002,Sant Andreu,0.0015497549304175403,-0.16279378758412913,0.8706807998076567,ns,ns,0.804
09003,Sant Andreu,0.0,-0.16279378758412913,0.8706807998076567,ns,ns,0.967
03113,Sants-Montjuic,0.0009538704602937193,-0.1697632373749437,0.8651963395277102,ns,ns,0.839
08054,Nou Barris,0.00013331990174451295,-0.17252492361116417,0.8630248689164555,ns,ns,0.943
06009,Gracia,0.0005395400932926289,-0.17393092714542124,0.8619197467160309,ns,ns,0.859
05045,Sarria-Sant Gervasi,0.0002441589662684997,-0.17395923323964604,0.8618975008248184,ns,ns,0.923
08030,Nou Barris,0.0004183143128376394,-0.17511557588586438,0.8609888195929893,ns,ns,0.897
09001,Sant Andreu,0.004139319724174356,-0.17582315379292107,0.8604328789020579,ns,ns,0.517
10111,Sant Marti,0.0012015865210591376,-0.17597841644841106,0.8603108989946717,ns,ns,0.806
09035,Sant Andreu,0.0008515684225623374,-0.17605890058628293,0.8602476690825052,ns,ns,0.846
02112,Eixample,0.0006479603335587109,-0.17665646517073721,0.8597782387101838,ns,ns,0.886
03036,Sants-Montjuic,0.0033166349089269985,-0.17791060284219976,0.8587931838264107,ns,ns,0.636
08034,Nou Barris,0.0,-0.17871760527063024,0.8581594447370853,ns,ns,0.959
06045,Gracia,0.0013716156380118518,-0.17989487969294188,0.8572350950388876,ns,ns,0.806
07103,Horta-Guinardo,0.006494543132474167,-0.18173202109955003,0.8557930351935885,ns,ns,0.433
08056,Nou Barris,0.0028377077058618643,-0.18240637955121863,0.8552638196365288,ns,ns,0.625
08027,Nou Barris,0.0,-0.18291161703059072,0.8548673676037462,ns,ns,0.911
05039,Sarria-Sant Gervasi,0.0,-0.18305287395025213,0.8547565320335939,ns,ns,0.923
08060,Nou Barris,6.886534946034608e-05,-0.18314326233364817,0.854685611361877,ns,ns,0.933
10117,Sant Marti,0.00045160871732879846,-0.18551079354973385,0.8528284151706085,ns,ns,0.907
04048,Les Corts,0.0,-0.18656781555514024,0.8519995030894789,ns,ns,0.923
09017,Sant Andreu,0.0,-0.19042677656086326,0.8489747168893214,ns,ns,0.9
02025,Eixample,0.00031373573462822955,-0.1924829529377179,0.8473639198284493,ns,ns,0.889
