rank,key,district_lbl,plane_count,mature_count,exposure_pop,source_std,exposure_std,priority,priority_std
32,02060,Eixample,70,57,1767.0,0.09595959595959595,0.08536173089925625,0.008191277207504387,0.07607471893186178
33,10064,Sant Marti,156,58,1745.0,0.09764309764309764,0.08350236646382692,0.008153429722057173,0.07572321858036143
34,10047,Sant Marti,90,42,2092.0,0.0707070707070707,0.11282961460446247,0.007977851537689266,0.0740925740925741
35,10051,Sant Marti,83,60,1688.0,0.10101010101010101,0.07868492224475997,0.007947971943915147,0.07381507381507381
36,04047,Les Corts,246,47,1929.0,0.07912457912457913,0.09905341446923598,0.007837559730730793,0.07278964421821565
37,02110,Eixample,109,43,2019.0,0.0723905723905724,0.10665990534144693,0.007721171598791612,0.07170871456585742
38,10101,Sant Marti,188,52,1797.0,0.08754208754208755,0.0878972278566599,0.007694706815734537,0.07146292860578575
39,04049,Les Corts,336,90,1357.0,0.15151515151515152,0.05070993914807302,0.007683324113344397,0.07135721421435708
40,10120,Sant Marti,127,65,1587.0,0.10942760942760943,0.07014874915483435,0.00767620992435056,0.07129114271971415
41,02101,Eixample,61,36,2248.0,0.06060606060606061,0.12601419878296147,0.007637224168664331,0.07092907092907094
42,08029,Nou Barris,375,71,1511.0,0.11952861952861953,0.06372549019607843,0.007617019871921832,0.07074142788428502
43,02076,Eixample,90,64,1592.0,0.10774410774410774,0.07057133198106828,0.007603645196613417,0.07061721347435633
44,10100,Sant Marti,106,51,1802.0,0.08585858585858586,0.08831981068289385,0.00758301404853129,0.07042560613989186
45,01032,Ciutat Vella,180,53,1748.0,0.08922558922558922,0.08375591615956728,0.00747317097046644,0.06940546226260512
46,02149,Eixample,102,47,1872.0,0.07912457912457913,0.09423597025016903,0.007456381484440984,0.06924953353524782
47,02089,Eixample,61,48,1847.0,0.08080808080808081,0.09212305611899932,0.007444287363151461,0.06913721199435487
48,05033,Sarria-Sant Gervasi,212,66,1524.0,0.1111111111111111,0.06482420554428668,0.007202689504920742,0.06689342403628118
49,04053,Les Corts,121,48,1811.0,0.08080808080808081,0.08908045977011494,0.00719842099152444,0.06685378113949543
50,05031,Sarria-Sant Gervasi,87,63,1555.0,0.10606060606060606,0.06744421906693712,0.007153174749523634,0.06643356643356643
